No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
237,237,내방,7,서초구,방배동,서울특별시 서초구 방배동 874-16 내방역,6311-7350,126.9931909,37.48811752,정좌표
238,238,이수,7,동작구,사당동,서울특별시 동작구 사당동 144-4 이수역,6311-7360,126.9811377,37.48516014,정좌표
239,239,남성,7,동작구,사당동,서울특별시 동작구 사당동 산 25-33 남성역,6311-7370,126.9710924,37.48472606,정좌표
240,240,숭실대입구(살피재),7,동작구,상도동,서울특별시 동작구 상도동 514 숭실대입구역,6311-7380,126.9540289,37.49581471,정좌표
241,241,상도,7,동작구,상도1동,서울특별시 동작구 상도1동 702-1 상도역,6311-7390,126.9472624,37.50350597,정좌표
242,242,장승배기,7,동작구,상도동,서울특별시 동작구 상도동 26-20 장승배기역,6311-7400,126.9410476,37.50470971,정좌표
243,243,신대방삼거리,7,동작구,대방동,서울특별시 동작구 대방동 406-10 신대방삼거리역,6311-7410,126.927683,37.49964329,정좌표
244,244,보라매,7,동작구,대방동,서울특별시 동작구 대방동 466-51 보라매역,6311-7420,126.9205485,37.49955836,정좌표
245,245,신풍,7,영등포구,신길동,서울특별시 영등포구 신길동 3599 신풍역,6311-7430,126.9093691,37.50028568,정좌표
247,247,남구로,7,구로구,구로동,서울특별시 구로구 구로동 801-95 남구로역,6311-7450,126.8866927,37.48491569,정좌표
248,248,가산디지털단지,7,금천구,가산동,서울특별시 금천구 가산동 54-3 가산디지털단지역,6311-7460,126.882895,37.4808105,정좌표
249,249,철산,7,광명시,철산동,경기도 광명시 철산동 526 철산역,6311-7470,126.869959,37.47669837,정좌표
250,250,광명사거리,7,광명시,광명동,경기도 광명시 광명동 158-211 광명사거리역,6311-7480,126.8546534,37.47947887,정좌표
251,251,천왕,7,구로구,오류동,서울특별시 구로구 오류동 174-6 천왕역,6311-7490,126.8396438,37.48787087,인근좌표
252,252,온수(성공회대입구),7,구로구,온수동,서울특별시 구로구 온수동 53-1 온수역(7호선),6311-7500,126.8232332,37.49220727,정좌표
259,259,삼산체육관,7,부평구,삼산동,인천광역시 부평구 삼산동 466 삼산체육관역,6311-7570,126.736771,37.50679911,정좌표
260,260,굴포천,7,부평구,삼산동,인천광역시 부평구 삼산동 466 굴포천역,6311-7580,126.736771,37.50679911,정좌표
261,261,부평구청,7,부평구,갈산동,인천광역시 부평구 갈산동 193-45 부평구청역,6311-7590,126.7208535,37.50759426,정좌표
262,262,암사,8,강동구,암사동,서울특별시 강동구 암사동 501 암사역,6311-8100,127.1281831,37.55115782,정좌표
263,263,천호(풍납토성),8,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",6311-5470,127.1250848,37.5384917,정좌표
264,264,강동구청,8,강동구,성내동,서울특별시 강동구 성내동 319 강동구청역,6311-8120,127.1211189,37.53121235,인근좌표
265,265,몽촌토성(평화의문),8,송파구,신천동,서울특별시 송파구 신천동 19 몽촌토성역,6311-8130,127.1107389,37.51697536,정좌표
266,266,잠실(송파구청),8,송파구,잠실동,서울특별시 송파구 잠실동 7-4 잠실역(8호선),6311-8140,127.0704383,37.5176523,인근좌표
267,267,석촌,8,송파구,석촌동,서울특별시 송파구 석촌동 209 석촌역,6311-8150,127.1055983,37.5066282,정좌표
268,268,송파,8,송파구,가락동,서울특별시 송파구 가락동 459-4 송파역,6311-8160,127.1120786,37.49986415,정좌표
