연번,역명,호선,구,동,상세주소,
55,신답,2,성동구,용답동,서울특별시 성동구 용답동 129-2 신답역,6110-1351
56,용두(동대문구청),2,동대문구,용두동,서울특별시 동대문구 용두동 47-1 용두역,6110-1361
57,신설동,2,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),6110-1371
58,도림천,2,구로구,신도림동,서울특별시 구로구 신도림동 323-16 도림천역,6110-2441
59,양천구청,2,양천구,신정동,서울특별시 양천구 신정동 276-7 양천구청역,6110-2451
60,신정네거리,2,양천구,신정동,서울특별시 양천구 신정동 1231 신정네거리역,6110-2461
61,까치산,2,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역,6110-5180
62,지축,3,고양시 덕양구,덕양구,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,6110-3191
63,구파발,3,은평구,진관동,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,6110-3201
64,연신내,3,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역(3호선),6110-3211
65,불광,3,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(3호선),6110-3221
66,녹번,3,은평구,녹번동,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,6110-3231
67,홍제,3,서대문구,홍제동,서울특별시 서대문구 홍제동 161-1 홍제역,6110-3241
68,무악재,3,서대문구,홍제동,서울특별시 서대문구 홍제동 26-1 무악재역,6110-3251
69,독립문,3,서대문구,현저동,서울특별시 서대문구 현저동 101 독립문역,6110-3261
70,경복궁(정부서울청사),3,종로구,적선동,서울특별시 종로구 적선동 81-1 3호선 경복궁역,6110-3271
71,안국,3,종로구,안국동,서울특별시 종로구 안국동 155-2 3호선 안국역,6110-3281
72,종로3가,3,종로구,묘동,서울특별시 종로구 묘동 59 종로3가역(3호선),6110-3291
73,을지로3가,3,중구,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),6110-3301
74,충무로,3,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",6110-4231
75,동대입구,3,중구,장충동2가,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,6110-3321
76,약수,3,중구,신당동,서울특별시 중구 신당동 369-44 약수역(3호선),6110-3331
77,금호,3,성동구,금호동4가,서울특별시 성동구 금호동4가 1470 금호역,6110-3341
78,옥수,3,성동구,옥수동,서울특별시 성동구 옥수동 168-1 옥수역,6110-3351
79,압구정,3,강남구,신사동,서울특별시 강남구 신사동 668 압구정역,6110-3361
80,신사,3,강남구,신사동,서울특별시 강남구 신사동 667 신사역,6110-3371
81,잠원,3,서초구,잠원동,서울특별시 서초구 잠원동 100-1 잠원역,6110-3381
82,고속터미널,3,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),6110-3391
83,교대(법원·검찰청),3,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(3호선),6110-3401
84,남부터미널(예술의전당),3,서초구,서초동,서울특별시 서초구 서초동 1748-30 남부터미널역,6110-3411
85,양재(서초구청),3,서초구,서초동,서울특별시 서초구 서초동 1366-9 양재역,6110-3421
86,매봉,3,강남구,도곡동,서울특별시 강남구 도곡동 179-2 매봉역,6110-3431
87,도곡,3,강남구,도곡동,서울특별시 강남구 도곡동 339-2 도곡역,6110-3441
88,대치,3,강남구,대치동,서울특별시 강남구 대치동 317-3 대치역,6110-3451
89,학여울,3,강남구,대치동,서울특별시 강남구 대치동 514-3 학여울역,6110-3461
90,대청,3,강남구,일원동,서울특별시 강남구 일원동 700-9 대청역,6110-3471
91,일원,3,강남구,일원동,서울특별시 강남구 일원동 717 일원역,6110-3481
92,수서,3,강남구,수서동,서울특별시 강남구 수서동 728 수서역,6110-3491
93,가락시장,3,송파구,가락동,서울특별시 송파구 가락동 184-23 가락시장역,6110-3501
94,경찰병원,3,송파구,가락동,서울특별시 송파구 가락동 10-15 경찰병원역,6110-3511
95,오금,3,송파구,오금동,서울특별시 송파구 오금동 44-2 오금역,6110-3521
96,당고개,4,노원구,상계동,서울특별시 노원구 상계동 111 당고개역,6110-4091
97,상계,4,노원구,상계동,서울특별시 노원구 상계동 156-203 상계역,6110-4101
98,노원,4,노원구,상계동,서울특별시 노원구 상계동 602-5 노원역(4호선),6110-4111
